	DRR041531	DRR041538	DRR041557	DRR041563	DRR041586	SRR10264719	SRR10264720	SRR10264721	SRR10264722	SRR10264489	SRR10264490	SRR10264491	SRR10264492	SRR8858261	SRR8858262	SRR8858263	SRR8858264	SRR8858265	SRR8858266	SRR8858267	SRR8858268	SRR1044425	SRR1044427	SRR1044429	SRR1044431	SRR1044433	SRR1044434	DRR041463	DRR041468	DRR041613	DRR041352	SRR10264389	SRR10264390	SRR10264391	SRR10264392	SRR10264369	SRR10264370	SRR10264371	SRR10264372	SRR10264628	SRR10264629	SRR10264630	SRR10264631	SRR10264129	SRR10264130	SRR10264131	SRR10264132	SRR10264237	SRR10264238	SRR10264239	SRR10264240	SRR10264269	SRR10264270	SRR10264271	SRR10264272	SRR10264980	SRR10264981	SRR10264982	SRR10264983	SRR10263632	SRR10263633	SRR10263634	SRR10263635	SRR10263548	SRR10263549	SRR10263550	SRR10263551	SRR10263656	SRR10263657	SRR10263658	SRR10263659	Elephant_Blood	Sample1_muscle	Sample1i_muscle	Tumat_Cartilage	Tumat_Liver	Tumat_Muscle	Wolf_Skin1	Wolf_Skin2	Thy_Muscle	Thy_Skin
Mir-320-P2a	3.23089710646164	5.57615343835833	3.47887393119371	2.93253199321258	6.94106737926412	2.25185002066947	0	1.5476966437991	4.60437166065597	3.40173309249684	2.99923808426947	1.43706842214372	2.72637231730374	7.55835423451926	5.88169741919209	10.7460192545873	3.85371947046919	7.50659865988887	10.5193947443339	4.0618635814048	10.5197499992141	4.77975863558119	1.10660602580349	5.77734856294719	3.85584621022476	8.84698074187279	5.00632879105838	1.9910670551664	3.31423283712094	4.27252956030176	7.03499040606065	5.61680947545879	1.67133216927205	5.69361064756411	2.36144229461087	2.93444289319457	1.97710455401973	2.95219506569975	6.05805910536007	5.72502369816218	3.59476880266501	4.49521545308721	5.96794087949727	2.7655861005038	2.23832772712435	3.33652189005873	6.06239031508373	2.4266175817084	5.32656253448217	2.97884462579301	1.98960573221573	1.88541361357369	4.52666987325543	0	3.95500796807001	2.15903414483269	5.80827777125115	6.02322531870907	5.51630706588662	9.04157585955829	2.66911242541594	6.47117004056407	9.24971688318688	0	0	4.58831833162346	6.87736022797451	2.85586456954887	0	4.47268283042197	4.76473921529663	0	0	0	0	0	0	0	0	0	0
Mir-320-P2b	3.60699737490802	4.22873915262457	5.82834824912953	3.83481052677172	5.1965765394954	3.61927174916568	2.15269143163183	1.5476966437991	2.19801358191114	1.76221610498131	1.35310696887963	0.890524894614324	0	5.66512535545144	10.4192673431407	7.05539928882997	10.6626737835728	4.19803949509906	6.93730637581037	8.40702988770123	6.28640802638809	8.86735159654001	5.28768255593646	7.09481859628726	8.8225261491839	2.81187378080139	7.09065137455884	6.3976088532472	5.28628646028442	5.94531172000464	5.87875150837616	2.18099410926111	5.75943330554673	3.10164945979927	2.84965057994117	0	5.8279055476591	3.4736421774783	3.93234288145897	3.37028483354107	4.09753043101777	4.43398994001983	4.24825041565858	5.6245498526162	6.12499421737693	6.01595442497054	2.28459148918587	5.33581308145398	1.58813295724365	1.56887233004962	4.23478541945683	3.18329037307815	1.78657782372909	1.88178770628316	4.78656107804453	5.72771256178965	2.62283885480155	3.27110756161846	3.70633851331011	4.53998152967853	6.29875866511155	3.48159739411087	7.10515873119247	4.62357664567496	2.74182383123227	6.41849807422098	1.51111217476574	6.97484408481969	6.60695412859697	4.60426718462528	6.7243777221717	0	0	0	0	0	0	0	0	0	0
Mir-320-P3	1.26188337846119	0	0	2.43908959205042	0	0	0	0	0	1.37561887557387	0	1.83250583487512	0.850044378990743	0	0	0	0	0.383452605952148	3.62084940456218	3.62522599787577	0	5.96257467426589	3.18168974475396	8.01940733910275	0.494099345006295	2.38277016299004	4.55766443686358	3.84688350994896	0	2.3866061014718	0	3.6218654121802	0.78940532022063	3.10164945979927	2.54316049606998	0	0	0	0	0	1.00535715333026	0	2.52053824391428	3.65540725840055	2.23832772712435	0	1.55391615072	0	1.58813295724365	0.987949226811437	0	0	2.56069327422785	1.88178770628316	0	0	1.44353758141309	0	1.4446112134343	2.71497423499928	7.04798820194966	2.26719612330756	2.657159825374	0	3.10190872756461	0	0	0	3.62643336488444	0	0	0	0	0	0	0	0	0	0	0	0
Mir-320-P4	2.3769176484058	0.951704251394096	0	3.29953600097111	2.44861108198143	0	2.62523499990772	1.5476966437991	0	0	0.829694090990264	1.43706842214372	0.850044378990743	0	0.295487207697102	4.12939402783209	0.315771344559238	1.90309195971402	0	0	0	1.00189769611325	2.7584999950763	0	1.60511787037442	0.680050647660377	1.65426755789772	1.31478616941387	2.94674992848661	0	4.90306399973185	0	2.60846228898509	1.11554513343675	0	0	1.97710455401973	0	3.25703906497248	1.02706470079385	2.00802828865477	1.52312552904802	0	1.55258070593448	1.51563629299423	3.5755548342601	0	2.4266175817084	1.00237849534382	1.98188588144377	0.993078815701568	0	0	1.88178770628316	1.7732032383926	0	2.62283885480155	0	0	2.71497423499928	1.87977978791294	6.76897229643997	6.46891483517864	1.57090978297909	4.17532203413511	3.85292467794796	4.14181463318916	1.62283230801153	0	1.64168482374576	0	0	0	0	0	0	0	0	0	0	0
Mir-3200	2.99827311438567	4.365782007082	4.22967838041074	2.93253199321258	3.3100210275349	3.37952816666867	2.62523499990772	2.75926244844499	3.94053185886368	2.5321613069548	3.90607787118616	3.78740710545516	3.61303525493053	0	0	0	0	0	0	0	0	1.48786626400358	0	0	0	3.41076658010507	1.65426755789772	1.9910670551664	2.45243762834759	4.72112898538227	0	7.40902348305051	7.49909154564126	7.24329927818723	7.29366703952855	2.93444289319457	0	2.12751062648816	1.94613051722549	2.36499121144135	0	0.95387252234241	0	3.12658572011525	3.07672945720567	3.33652189005873	2.28459148918587	0	1.58813295724365	0	0.993078815701568	0	2.56069327422785	0	3.41582379957016	2.98774198735876	2.97810026304091	3.27110756161846	2.97958245531887	2.71497423499928	4.09433175985343	2.87900857871701	2.657159825374	0	2.26085957392237	2.27579629039564	2.23284297951258	3.51082947376903	3.38657537339801	2.87988227457315	1.59179007653147	0	0	0	0	0	0	0	0	0	0
Mir-324	4.63037410217207	5.07448249855607	5.08682798773648	4.04268629010933	5.4627960489563	4.67010721853814	4.65110672074635	4.80369209053351	5.05728743532036	4.96813902405317	5.28865809466525	5.33188870708212	5.11717004512488	3.23541725642771	4.79811928655882	4.69417130854009	0	4.57497904513364	4.443554986955	4.93816656254508	3.96719957359308	8.85303338887135	7.9328888666445	8.48601456618352	8.59305514910043	8.4273200555502	8.37388983906216	6.54279328431158	5.71270897434476	6.3209564588123	7.76754888336005	7.03425375665282	7.11541197627549	6.8277323628955	7.04508488592484	6.00278789458061	5.39637528743869	6.29464749510878	5.99491265727624	4.85910447519206	4.81766882558022	4.66469305505974	4.87910621495821	6.77176920060062	6.58228053337346	6.27526833838764	6.69508798766975	6.37601075387341	6.07077143986264	6.26151204343647	6.17613980937659	6.30639096065409	6.21914276603886	5.70102149941604	5.82315755185673	6.17105126154217	5.66891968378192	5.98431299297359	6.16184092405976	6.96392948761721	6.87759964904447	6.78569228695254	6.8133438707941	6.74724885533908	6.8896664751446	6.86145240522601	7.04844410399397	6.85035549059683	6.79072237985104	7.30288757964923	7.02137752190497	11.5068170047873	0	0	0	9.0535374503772	0	6.08943441674269	7.65230506537109	0	0
Mir-325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42244728169308
Mir-326	0	0	0	0	0	0	3.26549896326262	2.75926244844499	2.19801358191114	0.845908281885073	2.28881398316065	1.43706842214372	1.76878525837759	3.50222289818727	4.91141930988428	4.3559324125722	0	4.8123406985508	4.81852568289126	5.11197940339863	3.46166891884733	5.86667506136249	2.48891045811883	6.92621225489013	3.85584621022476	7.97449223830514	6.57736648156814	0	0	4.04503028119919	0	3.85116982006997	3.05026117122928	3.10164945979927	3.66978748445024	4.13844792386717	3.97132346533563	3.85584163118431	4.17954106693148	2.36499121144135	2.81652647077442	2.24739919023902	2.26013680830463	2.7655861005038	3.07672945720567	2.21433246896568	3.86323618808569	1.6727228292708	2.58892448391718	1.56887233004962	1.98960573221573	3.18329037307815	4.18187297657636	3.85065663042808	3.41582379957016	1.45052704271402	1.44353758141309	2.63048064510923	3.50225010351232	5.46385361297764	5.49898848003058	5.54740039798313	5.4851104400381	6.12891615177262	6.15312104352722	6.48189491749372	6.03914693729825	6.5315497488336	6.26052135179718	6.06024858164674	6.57997759346038	9.7501640461395	0	0	0	8.0562500135055	0	8.07345591069506	7.39070421791823	0	0
Mir-328	3.90504851075794	5.29647212766436	5.54447290400462	4.66257395348983	5.68745924674797	6.48266934420496	6.68192261381213	6.45215893606136	7.02441904919664	6.07004292094748	6.24072670459441	6.46095137878183	6.12969202664867	6.09473896115663	6.51873104764107	5.18734487330851	5.17925149283537	5.69612752599733	4.93188276510947	4.71677552505759	6.25763883958365	9.59549732328908	8.52268474084253	8.94277055970982	6.94874523767542	7.65054251261492	8.24705556032596	3.68943744586169	5.01407890872907	4.04503028119919	0	8.81799275322651	8.86999465044897	8.45545298818437	8.76907032439769	5.46564687291367	5.49362559169813	4.80513909355399	5.45289000933053	6.73962031457177	6.68301536546269	6.39915064495508	6.95637028401867	5.56687409194166	5.45163077893282	5.48181606551386	5.68199442083545	2.69385341860028	2.81142994505069	2.78663440565584	2.98786605007424	3.85528626750858	4.36454759470457	4.93255533487245	5.31070101353966	5.47011282361437	5.4593248726014	5.2882490186141	5.28101871267314	5.46385361297764	5.49898848003058	5.42467124515801	5.4851104400381	5.40562895593162	4.01534396940577	4.58831833162346	4.41638479211833	5.60984908665497	4.87651088002064	4.93942417965486	5.36753265582989	11.3803038944849	0	0	0	0	0	8.65663204834097	8.38639926224633	0	0
Mir-33-P1	4.03377058543775	3.37038209399548	4.02004568302411	4.53075560603652	3.84566158128707	4.86898260746593	4.54860157787632	4.98986570012285	5.33889445252759	4.01350903734929	3.66216298501547	3.4913664519491	3.94916274589706	0	0	4.85114583345412	0	3.75305425320087	3.32130216578117	3.51945900275911	4.65947567257066	3.65884406819457	2.48891045811883	3.55697609900461	3.58831439257081	4.10930138229466	4.62199137190574	6.08628392395965	6.30896734810913	4.72112898538227	6.67556004510934	6.74200316564485	7.10781374586885	6.64638354807204	7.00690595860675	6.65347781728817	5.75131334817871	6.09576769456635	6.43632652293505	5.0519848692293	5.50231078783586	4.86353988599595	5.20978499392787	3.86134979460675	3.36404642369147	4.11960565652161	4.59893489508512	3.57782598322377	3.17415073038853	3.30016369946288	3.68763610071453	3.18329037307815	4.6724002608723	3.55351504184089	3.95500796807001	5.22476013993501	4.91828061803948	5.2882490186141	5.21567032853788	4.77808365757389	4.92988930383375	4.72387395687847	5.25381160687518	5.10876032442654	4.97003253972178	4.69917487818453	4.28562181775983	4.4461177086075	4.96654743742741	4.32788145179145	5.29537011846986	3.10356003119634	0	0	0	0	0	0	0	0	0
Mir-33-P3	4.85607534813986	3.81538951670302	6.56803975749249	5.18523037227403	5.1965765394954	2.73213856770259	2.15269143163183	3.40837227582676	3.55648016717492	3.40173309249684	2.0388694335583	3.69531536486781	3.87218440978285	4.58244280521109	4.32863166481219	0	4.39667394548721	5.59978629263079	3.75012757690532	5.39221731365997	6.19073065296128	8.50442517725005	7.45253842200083	7.90738336849004	7.96192572304756	7.45149669090799	7.62577066383793	6.63205298114991	6.49933607772743	3.44205006160109	7.86024442947961	4.90613081231799	5.01433569724456	4.91500533272747	5.60278472291771	2.11180087023049	5.05776370537224	4.40720119599839	3.25703906497248	4.80656732463888	4.33208973668804	3.61409524568548	3.92731660253046	0	3.36404642369147	3.049863509461	3.12837960343253	2.4266175817084	2.0035662741426	1.98188588144377	2.57340867796331	3.85528626750858	3.97266821191938	1.88178770628316	4.34659979658497	4.55643089115776	4.91828061803948	4.84259611360116	4.43714352484173	4.53998152967853	3.84809148907568	3.30728596208954	4.29113573750134	5.18889781207281	5.13483395429365	4.98828422156437	4.28562181775983	5.00884811088874	3.83204024670853	5.12618006411199	4.65367769289179	5.39717307468517	0	0	0	0	0	6.08943441674269	6.08161444745164	0	0
Mir-330-v1	0	0	3.77468739805016	0	1.99008428092361	1.52680305375237	3.50331011607601	3.85444462306812	2.67416840857219	2.06680697500783	4.04842533852419	4.36727049146426	2.07389750363558	0	0	0	0	3.90738639731156	0	0	0	5.53353185394388	4.09991664965357	5.77734856294719	5.59631442170782	5.63743277050044	7.32125056677289	7.71945244334115	7.8401073300559	4.79624976815621	0	8.17353350228198	7.91503933465545	9.56427545057938	8.45422462847382	5.23056251735253	3.97132346533563	0	4.17954106693148	4.05033684997119	1.00535715333026	3.81955711052345	1.94214918074719	1.55258070593448	4.542938290157	4.39394288092158	3.86323618808569	4.02831288905598	3.17415073038853	3.5627919482753	6.71417625082862	5.37221471011976	3.43293571958275	3.55351504184089	1.7732032383926	3.27282852460369	3.50070247396359	5.2882490186141	1.4446112134343	4.25466212015411	5.05147067733601	2.87900857871701	2.657159825374	1.57090978297909	1.53425327332603	5.36973898806007	3.35776089214979	5.26439502671861	5.27921752531531	5.69730689680522	4.86785875087034	0	0	0	0	0	0	0	0	0	0
