genes	variable	value
Mir-1-P1	Human_Pancreas	1.4244852801147
Mir-1-P3	Human_Pancreas	1.23429111242862
Mir-133-P1-v1	Human_Pancreas	2.48521825596211
Mir-133-P3-v1	Human_Pancreas	5.04654400180716
Mir-9-P1	Human_Pancreas	2.97671889039294
Mir-9-P2	Human_Pancreas	1.781613970344
Mir-124-P1-v2	Human_Pancreas	0
Mir-184	Human_Pancreas	3.15816798550918
Mir-1-P2	Human_Pancreas	0
Mir-10-P1c-v1	Human_Pancreas	15.0841053693054
Mir-10-P1c-v2	Human_Pancreas	15.2368371307031
Let-7-P2b2	Human_Pancreas	13.5178433432142
Let-7-P2c2	Human_Pancreas	12.4251050117668
Mir-92-P1a	Human_Pancreas	12.7939454761256
Let-7-P2a1	Human_Pancreas	11.1712368823292
Let-7-P2b1	Human_Pancreas	12.8566577816055
Let-7-P2a2	Human_Pancreas	14.0870946870649
Mir-10-P3b	Human_Pancreas	13.2863926402007
Mir-181-P1a	Human_Pancreas	14.2219560053843
Mir-181-P1b	Human_Pancreas	14.2540507402575
Mir-22-P1b	Human_Pancreas	15.93603325417
Mir-27-P2	Human_Pancreas	17.0191336237696
Mir-143	Human_Pancreas	17.4163642303274
Mir-10-P2c	Human_Pancreas	9.30366557473751
Mir-10-P3c	Human_Pancreas	10.6600273015231
Mir-10-P3d	Human_Pancreas	8.41836753068301
Let-7-P1d	Human_Pancreas	12.5585426419532
Mir-101-P1-v2	Human_Pancreas	8.98025549598357
Mir-24-P2	Human_Pancreas	6.69072375326521
Mir-10-P2d	Human_Pancreas	10.0353184093518
Mir-1-P1	Human_Liver	1.41684352689167
Mir-1-P3	Human_Liver	0.691512300563025
Mir-133-P1-v1	Human_Liver	2.83638187860586
Mir-133-P3-v1	Human_Liver	2.32815429706395
Mir-9-P1	Human_Liver	4.14561746693543
Mir-9-P2	Human_Liver	0
Mir-124-P1-v2	Human_Liver	0
Mir-184	Human_Liver	1.0530248116482
Mir-1-P2	Human_Liver	0
Mir-10-P1c-v1	Human_Liver	14.2410086151421
Mir-10-P1c-v2	Human_Liver	15.7777633521571
Let-7-P2b2	Human_Liver	12.1718041778888
Let-7-P2c2	Human_Liver	11.1988353240912
Mir-92-P1a	Human_Liver	15.106305999913
Let-7-P2a1	Human_Liver	12.8222353693944
Let-7-P2b1	Human_Liver	13.8345947375353
Let-7-P2a2	Human_Liver	11.4963159771059
Mir-10-P3b	Human_Liver	12.9030760293223
Mir-181-P1a	Human_Liver	13.0315686337602
Mir-181-P1b	Human_Liver	13.7360609693258
Mir-22-P1b	Human_Liver	18.0073545195528
Mir-27-P2	Human_Liver	16.6829378617917
Mir-143	Human_Liver	15.9685297908247
Mir-10-P2c	Human_Liver	11.2382876247987
Mir-10-P3c	Human_Liver	10.5564255734772
Mir-10-P3d	Human_Liver	10.2788616330242
Let-7-P1d	Human_Liver	11.9497317155266
Mir-101-P1-v2	Human_Liver	10.4190103154434
Mir-24-P2	Human_Liver	6.33205822038699
Mir-10-P2d	Human_Liver	11.7559366191811
Mir-1-P1	Human_Duodenum	4.62227059314563
Mir-1-P3	Human_Duodenum	2.91633678973077
Mir-133-P1-v1	Human_Duodenum	6.94735157837771
Mir-133-P3-v1	Human_Duodenum	8.61072412634972
Mir-9-P1	Human_Duodenum	3.71877852384105
Mir-9-P2	Human_Duodenum	7.49846714987585
Mir-124-P1-v2	Human_Duodenum	0
Mir-184	Human_Duodenum	0.394996957209335
Mir-1-P2	Human_Duodenum	0
Mir-10-P1c-v1	Human_Duodenum	15.7805359413045
Mir-10-P1c-v2	Human_Duodenum	16.3059892831465
Let-7-P2b2	Human_Duodenum	12.505040932198
Let-7-P2c2	Human_Duodenum	12.9802286983382
Mir-92-P1a	Human_Duodenum	12.5325534747583
Let-7-P2a1	Human_Duodenum	12.3287037493916
Let-7-P2b1	Human_Duodenum	9.97447368191304
Let-7-P2a2	Human_Duodenum	12.662295109712
Mir-10-P3b	Human_Duodenum	13.2022486752654
Mir-181-P1a	Human_Duodenum	13.3202719445071
Mir-181-P1b	Human_Duodenum	12.526172843811
Mir-22-P1b	Human_Duodenum	16.1812902231162
Mir-27-P2	Human_Duodenum	16.285090068661
Mir-143	Human_Duodenum	19.2584923397684
Mir-10-P2c	Human_Duodenum	8.67800357764814
Mir-10-P3c	Human_Duodenum	10.1925766083029
Mir-10-P3d	Human_Duodenum	7.80640095866559
Let-7-P1d	Human_Duodenum	11.5640495371102
Mir-101-P1-v2	Human_Duodenum	9.69979351044229
Mir-24-P2	Human_Duodenum	8.06475244237859
Mir-10-P2d	Human_Duodenum	10.972932569651
Mir-1-P1	Human_Jejunum	4.86487540320006
Mir-1-P3	Human_Jejunum	3.53409857007775
Mir-133-P1-v1	Human_Jejunum	8.07195358416705
Mir-133-P3-v1	Human_Jejunum	6.61312888889745
Mir-9-P1	Human_Jejunum	2.84810783063659
Mir-9-P2	Human_Jejunum	5.72683236142352
Mir-124-P1-v2	Human_Jejunum	0.304114601673075
Mir-184	Human_Jejunum	1.21152442625763
Mir-1-P2	Human_Jejunum	0
Mir-10-P1c-v1	Human_Jejunum	15.2182147642581
Mir-10-P1c-v2	Human_Jejunum	16.4290221610913
Let-7-P2b2	Human_Jejunum	12.8644816978977
Let-7-P2c2	Human_Jejunum	13.1428969802708
Mir-92-P1a	Human_Jejunum	12.0210681905877
Let-7-P2a1	Human_Jejunum	11.8936914696216
Let-7-P2b1	Human_Jejunum	12.1514462217159
Let-7-P2a2	Human_Jejunum	14.212294722828
Mir-10-P3b	Human_Jejunum	13.0195712375281
Mir-181-P1a	Human_Jejunum	10.2759767276726
Mir-181-P1b	Human_Jejunum	14.3012697825411
Mir-22-P1b	Human_Jejunum	16.0967376362081
Mir-27-P2	Human_Jejunum	16.8215615815946
Mir-143	Human_Jejunum	19.5985871603133
Mir-10-P2c	Human_Jejunum	8.63394491555966
Mir-10-P3c	Human_Jejunum	9.90094257873932
Mir-10-P3d	Human_Jejunum	9.4236350427982
Let-7-P1d	Human_Jejunum	8.03872405938044
Mir-101-P1-v2	Human_Jejunum	10.6582153328426
Mir-24-P2	Human_Jejunum	7.84834591224075
