genes	variable	value
MYH9	Human_Lung	14.4841831616708
UBC	Human_Lung	13.9653872057671
HSP90AB1	Human_Lung	13.3321661906261
C5H4orf54	Human_Brain	0
MYH1	Human_Brain	0.515916373183001
KLHL40	Human_Brain	1.94853947240124
MYH6	Human_Brain	2.00192336689034
ANKRD1	Human_Brain	1.47303457496041
XIRP1	Human_Brain	3.53733088937447
NRAP	Human_Brain	5.63538844113241
CKM	Human_Brain	1.89983309840988
ACTA1	Human_Brain	2.90173442058025
TRIM63	Human_Brain	0.8225102307417
TNNT1	Human_Brain	5.36483670972632
XIRP2	Human_Brain	1.37443963861543
MYO18B	Human_Brain	1.79402687736765
TNNC1	Human_Brain	1.09985860769704
ACTN2	Human_Brain	10.3441168022378
FLNC	Human_Brain	8.84981241095102
DES	Human_Brain	5.25158613658105
NEB	Human_Brain	6.42002846803317
TTN	Human_Brain	7.65324859096219
OBSCN	Human_Brain	7.07992318534507
TPM2	Human_Brain	8.88607838717015
MYH10	Human_Brain	11.9545436148488
PLEC	Human_Brain	11.5022578430372
SYNE2	Human_Brain	9.0334083633224
MACF1	Human_Brain	12.561938591226
GLUL	Human_Brain	14.5967742035716
AHNAK	Human_Brain	12.1049571709449
MYH9	Human_Brain	11.8076368128343
UBC	Human_Brain	13.9826675771489
HSP90AB1	Human_Brain	14.365989130812
C5H4orf54	Human_Salivary	0
MYH1	Human_Salivary	0.864754821247397
KLHL40	Human_Salivary	0.56771467915023
MYH6	Human_Salivary	6.75349231349561
ANKRD1	Human_Salivary	4.94640088195607
XIRP1	Human_Salivary	1.5054288513354
NRAP	Human_Salivary	3.78623132148602
CKM	Human_Salivary	3.93592002888643
ACTA1	Human_Salivary	1.68944268862435
TRIM63	Human_Salivary	0.198972500240495
TNNT1	Human_Salivary	0.874782763646103
XIRP2	Human_Salivary	1.29998869786175
MYO18B	Human_Salivary	1.14805435560714
TNNC1	Human_Salivary	3.66460937780606
ACTN2	Human_Salivary	4.70123599092621
FLNC	Human_Salivary	5.94438384666703
DES	Human_Salivary	6.43413382933375
NEB	Human_Salivary	5.81104904213326
TTN	Human_Salivary	8.80308614298652
OBSCN	Human_Salivary	10.3196282938931
TPM2	Human_Salivary	11.0477016230812
MYH10	Human_Salivary	9.60532425806277
PLEC	Human_Salivary	12.3011287303183
SYNE2	Human_Salivary	10.9696914040614
MACF1	Human_Salivary	12.2033091145006
GLUL	Human_Salivary	12.5394087004335
AHNAK	Human_Salivary	13.8417639922311
MYH9	Human_Salivary	14.1778398966038
UBC	Human_Salivary	14.2213365884106
HSP90AB1	Human_Salivary	13.5445683637042
C5H4orf54	Human_Ovary	0
MYH1	Human_Ovary	0.994933253165692
KLHL40	Human_Ovary	0
MYH6	Human_Ovary	6.04944090904809
ANKRD1	Human_Ovary	4.21740511039349
XIRP1	Human_Ovary	0.33050906896042
NRAP	Human_Ovary	1.46935239293643
CKM	Human_Ovary	3.54713216859273
ACTA1	Human_Ovary	0
TRIM63	Human_Ovary	0.837545604858957
TNNT1	Human_Ovary	0.333931342955813
XIRP2	Human_Ovary	0.706164567995324
MYO18B	Human_Ovary	1.42690467947073
TNNC1	Human_Ovary	3.42932383523833
ACTN2	Human_Ovary	5.8481952988454
FLNC	Human_Ovary	9.0117111818965
DES	Human_Ovary	9.94174501505887
NEB	Human_Ovary	4.50771389730707
TTN	Human_Ovary	8.56261411658123
OBSCN	Human_Ovary	10.5412589988608
TPM2	Human_Ovary	11.5715891260748
MYH10	Human_Ovary	11.5564999705876
PLEC	Human_Ovary	11.6907092898127
SYNE2	Human_Ovary	12.5623491302519
MACF1	Human_Ovary	13.4261286761973
GLUL	Human_Ovary	14.2484968788617
AHNAK	Human_Ovary	15.0946670568695
MYH9	Human_Ovary	13.0797508175798
UBC	Human_Ovary	13.5416531198719
HSP90AB1	Human_Ovary	15.2128216628659
C5H4orf54	Human_Kidney	0
MYH1	Human_Kidney	1.84709877759781
KLHL40	Human_Kidney	0.7527049232872
MYH6	Human_Kidney	0.44505414430048
ANKRD1	Human_Kidney	2.62447480290748
XIRP1	Human_Kidney	0.75120104921395
NRAP	Human_Kidney	4.77571710728356
CKM	Human_Kidney	4.51161779807206
ACTA1	Human_Kidney	4.22051290129462
TRIM63	Human_Kidney	4.75092675170213
TNNT1	Human_Kidney	3.4289726439788
XIRP2	Human_Kidney	3.23149381614671
MYO18B	Human_Kidney	2.93050504002919
TNNC1	Human_Kidney	6.77875411272096
ACTN2	Human_Kidney	4.92874637964641
FLNC	Human_Kidney	7.29853220806705
DES	Human_Kidney	7.53235260880545
NEB	Human_Kidney	7.39499162748797
TTN	Human_Kidney	7.3619580391746
OBSCN	Human_Kidney	9.42132982072703
TPM2	Human_Kidney	9.78459802778811
MYH10	Human_Kidney	12.0390290986018
PLEC	Human_Kidney	10.9609476467443
SYNE2	Human_Kidney	12.8836225572494
MACF1	Human_Kidney	12.648985576955
GLUL	Human_Kidney	12.0149621437127
AHNAK	Human_Kidney	14.0727840517392
MYH9	Human_Kidney	13.4455607023218
UBC	Human_Kidney	13.6849210867263
HSP90AB1	Human_Kidney	13.5741058513606
C5H4orf54	Human_Skin	0
MYH1	Human_Skin	0
KLHL40	Human_Skin	0.734538492128395
MYH6	Human_Skin	0.171521637312685
ANKRD1	Human_Skin	0
XIRP1	Human_Skin	0.296187581681537
NRAP	Human_Skin	1.37670099120598
CKM	Human_Skin	1.78418010191268
ACTA1	Human_Skin	2.79622692899571
TRIM63	Human_Skin	5.7017927300967
TNNT1	Human_Skin	8.64842410065237
XIRP2	Human_Skin	1.88866041238068
MYO18B	Human_Skin	1.32615453900506
TNNC1	Human_Skin	5.39436540612191
ACTN2	Human_Skin	3.99730935850012
FLNC	Human_Skin	7.48279523262174
DES	Human_Skin	7.04146270790929
NEB	Human_Skin	8.59354215126173
TTN	Human_Skin	8.80800312917357
OBSCN	Human_Skin	9.33249577292664
TPM2	Human_Skin	8.00932155745139
MYH10	Human_Skin	9.68405640244681
PLEC	Human_Skin	12.631508634562
SYNE2	Human_Skin	13.1445225241183
