	UMAP1	UMAP2	Tissue	Color	Shape
ERR315455	-8.45850626018925	-15.1595730109865	Brain	lavender	15
ERR315477	-8.42892252783771	-13.6878321032221	Brain	lavender	15
ERR315350	3.18200875591491	-30.2361834136526	Testis	lavenderblush2	15
ERR315351	1.8823469418088	-29.1186461285013	Testis	lavenderblush2	15
ERR315352	0.257484967284333	-32.453813172408	Testis	lavenderblush2	15
ERR315391	0.76359705720477	-29.5268193783554	Testis	lavenderblush2	15
ERR315415	1.44478730469692	-33.207492120463	Testis	lavenderblush2	15
ERR315446	2.5239920266026	-32.5071717139845	Testis	lavenderblush2	15
ERR315456	0.436424867123864	-31.1710590293862	Testis	lavenderblush2	15
ERR315492	1.99652115024699	-31.0369778903676	Testis	lavenderblush2	15
ERR315380	-14.2982654943475	2.80873389050061	Ovary	lavenderblush3	15
ERR315402	-16.1196088461041	1.91807974677105	Ovary	lavenderblush3	15
